lodindex	lodcolumn	chr	pos	lod	ci_lo	ci_hi
1	X6.azauracil.50ug.mL.3	chrIV	0.546556	18.4093707685992	0.525682	0.548896
1	X6.azauracil.50ug.mL.3	chrVII	0.226152	4.06775469944025	0.08512	0.373552
1	X6.azauracil.50ug.mL.3	chrXII	0.954897	4.29535515841043	0.625064	0.9757
1	X6.azauracil.50ug.mL.3	chrXIV	0.314885	4.26037943140385	0.260618	0.327569
1	X6.azauracil.50ug.mL.3	chrXIV	0.472575	27.1595058240909	0.466103	0.476709
1	X6.azauracil.50ug.mL.3	chrXV	0.156746	23.1078708375047	0.14022	0.158905
1	X6.azauracil.50ug.mL.3	chrXV	0.17162375	22.2175552383843	0.160743	0.184291
1	X6.azauracil.50ug.mL.3	chrXV	0.559768	5.42076828150414	0.550636	0.621951
2	Cadmium_Chloride.75uM.2	chrII	0.795756	334.091828292649	0.79179	0.796648
2	Cadmium_Chloride.75uM.2	chrXII	0.658599	6.08764501923169	0.627543	0.693267
3	Caffeine.15mM.2	chrIV	0.141605	6.63722649478421	0.132892	0.167295
3	Caffeine.15mM.2	chrIV	0.373723	7.76614560701873	0.353682	0.380252
3	Caffeine.15mM.2	chrVII	0.474296	4.99343153006649	0.457721	0.832207
3	Caffeine.15mM.2	chrVIII	0.161504	16.6389141529454	0.146822	0.177793
3	Caffeine.15mM.2	chrVIII	0.184323	15.8514254728462	0.180223	0.186657
3	Caffeine.15mM.2	chrVIII	0.221591	9.12005138517287	0.212536	0.252848
3	Caffeine.15mM.2	chrXI	0.044298	36.7187758029494	0.041115	0.045141
3	Caffeine.15mM.2	chrXI	0.062759	42.7687141083503	0.05442	0.06456
3	Caffeine.15mM.2	chrXII	0.648877	7.02712444254544	0.62383	0.680926
3	Caffeine.15mM.2	chrXIII	0.25046	4.84103951993776	0.195423	0.301985
3	Caffeine.15mM.2	chrXIV	0.467028	24.886981982135	0.465187	0.473303
3	Caffeine.15mM.2	chrXIV	0.50958	13.5956065251585	0.507433	0.515537
3	Caffeine.15mM.2	chrXV	0.585808	20.8266888293429	0.582005	0.586839
3	Caffeine.15mM.2	chrXV	0.611434	32.130292071401	0.61066	0.627315
3	Caffeine.15mM.2	chrXV	0.641229	33.0131555893174	0.633727	0.649242
4	Cobalt_Chloride.2mM.2	chrI	0.193631	8.64264589669443	0.191704	0.198331
4	Cobalt_Chloride.2mM.2	chrIII	0.095527	4.45612587941134	0.077505	0.101527
4	Cobalt_Chloride.2mM.2	chrVII	0.609851	4.25128805356941	0.36412	0.612759
4	Cobalt_Chloride.2mM.2	chrX	0.660487	5.46173080987313	0.640502	0.672798
4	Cobalt_Chloride.2mM.2	chrXII	0.632011	70.6967803179746	0.628424	0.634488
4	Cobalt_Chloride.2mM.2	chrXII	0.657631	86.985516846593	0.649036	0.658599
4	Cobalt_Chloride.2mM.2	chrXII	0.712581	42.1849263407144	0.711432	0.717712
