lodindex	lodcolumn	chr	pos	lod	ci_lo	ci_hi
1	X6.azauracil.50ug.mL.3	chrI	0.203181	8.67594567534333	0.194626	0.203798
1	X6.azauracil.50ug.mL.3	chrII	0.550133	15.1240327978285	0.543264	0.559515
1	X6.azauracil.50ug.mL.3	chrV	0.363002	26.9321428978262	0.361243	0.36415
1	X6.azauracil.50ug.mL.3	chrV	0.368857	29.534109172983	0.368771	0.372057
1	X6.azauracil.50ug.mL.3	chrV	0.377281	36.6304061070558	0.375017	0.378586
1	X6.azauracil.50ug.mL.3	chrVII	0.787089	5.50853906569623	0.757758	0.797274
1	X6.azauracil.50ug.mL.3	chrXI	0.14665	5.79155937452299	0.1201	0.16582
1	X6.azauracil.50ug.mL.3	chrXIII	0.588807	7.54002002921327	0.585165	0.605048
1	X6.azauracil.50ug.mL.3	chrXIV	0.476037	5.89874154282188	0.44964	0.479459
1	X6.azauracil.50ug.mL.3	chrXV	0.587691	5.23156348705691	0.558497	0.608505
2	Cadmium_Chloride.75uM.2	chrII	0.692126	7.47447853655209	0.68055	0.698648
2	Cadmium_Chloride.75uM.2	chrII	0.742721	31.5018655639952	0.740827	0.744063
2	Cadmium_Chloride.75uM.2	chrII	0.750883	38.7846899345912	0.749547	0.752916
2	Cadmium_Chloride.75uM.2	chrII	0.772129	75.7245364209777	0.770771	0.773042
2	Cadmium_Chloride.75uM.2	chrII	0.796648	183.660947594009	0.794425	0.797599
3	Caffeine.15mM.2	chrVII	0.156252	7.27431752094663	0.14271	0.190333
3	Caffeine.15mM.2	chrVIII	0.17497	9.02956372142093	0.162108	0.185766
3	Caffeine.15mM.2	chrVIII	0.189054	7.83120378899507	0.187908	0.193626
3	Caffeine.15mM.2	chrX	0.658664	4.01046626919743	0.656567	0.664824
3	Caffeine.15mM.2	chrXI	0.018921	7.91716113407561	0.014438	0.021328
3	Caffeine.15mM.2	chrXI	0.056757	37.8577997326183	0.055185	0.06456
3	Caffeine.15mM.2	chrXI	0.074375	19.3593886258578	0.074103	0.076124
3	Caffeine.15mM.2	chrXII	0.493687	4.84890021729351	0.460505	0.510208
3	Caffeine.15mM.2	chrXII	0.641406	4.48309571389644	0.624955	0.658563
